"","pais","rpc","ev"
"1","Catar","129112","79"
"2","Luxemburgo","107736","82"
"3","Singapur","90724","82"
"4","Brunéi","76567","77"
"5","Irlanda","72529","81"
"6","Kuwait","71306","78"
"7","Noruega","70665","82"
"8","Emiratos Árabes Unidos","68424","76"
"9","Suiza","61014","82"
"10","Hong Kong","60553",NA
"11","Estados Unidos","59609","79"
"12","Arabia Saudita","55477","76"
"13","Países Bajos","53139",NA
"14","Islandia","52496","82"
"15","Baréin","51956","77"
"16","Suecia","51377","82"
"17","Australia","50817","83"
"18","Taiwán","49901",NA
"19","Alemania","49814","81"
"20","Austria","49370","81"
"21","Dinamarca","49364","80"
"22","Canadá","47771","82"
"23","Bélgica","46551","80"
"24","Omán","46475","76"
"25","Reino Unido","44001","81"
"26","Francia","43652","83"
"27","Finlandia","43545","81"
"28","Japón","42860",NA
"29","Malta","42239","81"
"30","Corea del Sur","39446","82"
"31","Nueva Zelanda","38706","83"
"32","España","38238","83"
"33","Italia","37905","83"
"34","Guinea Ecuatorial","36556","55"
"35","Chipre","36442","82"
"36","Israel","36378","82"
"37","República Checa","34849","78"
"38","Eslovenia","33579","80"
"39","Eslovaquia","33054","76"
"40","Trinidad y Tobago","32520","70"
"41","Lituania","31848","74"
"42","Estonia","30764","77"
"43","Portugal","30192","82"
"44","Polonia","29349","77"
"45","Seychelles","29155","74"
"46","Hungría","28965","75"
"47","Malasia","28636","74"
"48","Grecia","27861","81"
"49","Rusia","27466","69"
"50","Letonia","27189","74"
"51","San Cristóbal y Nieves","27130","74"
"52","Antigua y Barbuda","25998","75"
"53","Kazajistán","25942","68"
"54","Turquía","25776","75"
"55","Bahamas","25173","75"
"56","Chile","24796","80"
"57","Panamá","24526","77"
"58","Croacia","24052","78"
"59","Rumania","23957","74"
"60","Uruguay","22271","77"
"61","Mauricio","21607","74"
"62","Bulgaria","21498","74"
"63","Argentina","20707","76"
"64","México","19480","76"
"65","Gabón","19396","63"
"66","Líbano","19128","80"
"67","Irán","18858","74"
"68","Turkmenistán","18771","63"
"69","Bielorrusia","18348","72"
"70","Botsuana","17918","62"
"71","Tailandia","17749","75"
"72","Barbados","17735","78"
"73","Montenegro","17554","76"
"74","Azerbaiyán","17498","72"
"75","Irak","17326","70"
"76","Costa Rica","17260","79"
"77","República Dominicana","17096","77"
"78","China","16676","77"
"79","Maldivas","16275","77"
"80","Brasil","15485","74"
"81","Macedonia","15380","76"
"82","Serbia","15320","75"
"83","Argelia","15281","72"
"84","Granada","14764","73"
"85","Colombia","14609","78"
"86","Surinam","13934","77"
"87","Libia","13502","75"
"88","Perú","13501","77"
"89","Sudáfrica","13409","59"
"90","Sri Lanka","13012","75"
"91","Egipto","12982","71"
"92","Venezuela","12856","76"
"93","Jordania","12558","74"
"94","Albania","12567","77,8"
"95","Indonesia","12432","71"
"96","Mongolia","12333","67"
"97","Túnez","12065","76"
"98","Santa Lucía","12022","75"
"99","Dominica","11978","75"
"100","Namibia","11838","67"
"101","San Vicente y las Granadinas","11790","74"
"102","Bosnia y Herzegovina","11564","77"
"103","Ecuador","11004","75"
"104","Georgia","10644","74"
"105","Suazilandia","9896","54"
"106","Paraguay","9779","75"
"107","Fiyi","9777","69"
"108","Jamaica","9307","74"
"109","El Salvador","9286","72"
"110","Armenia","9066","71"
"111","Marruecos","8801","71"
"112","Bután","8762","68"
"113","Ucrania","8677","71"
"114","Belice","8399","75"
"115","Guyana","8306","63"
"116","Filipinas","8270","69"
"117","Guatemala","8132","72"
"118","Bolivia","7552","68"
"119","India","7153","66"
"120","Uzbekistán","7023","69"
"121","Cabo Verde","6994","74"
"122","Vietnam","6925","76"
"123","Angola","6881","51"
"124","República del Congo","6720","59"
"125","Myanmar","6360",NA
"126","Laos","6115","66"
"127","Nigeria","5960","55"
"128","Nicaragua","5755","73"
"129","Samoa","5752","73"
"130","Tonga","5703","71"
"131","Moldavia","5697","71"
"132","Honduras","5492","74"
"133","Pakistán","5374","65"
"134","Ghana","4650","62"
"135","Sudán","4578","55"
"136","Mauritania","4488","63"
"137","Bangladés","4207","70"
"138","Camboya","4022","72"
"139","Zambia","3982","57"
"140","Costa de Marfil","3841","53"
"141","Timor Oriental","3774","66"
"142","Lesoto","3752","50"
"143","Kirguistán","3669","69"
"144","Papúa Nueva Guinea","3635","62"
"145","Yibuti","3584","61"
"146","Kenia","3516","61"
"147","Camerún","3358","56"
"148","Tanzania","3296","61"
"149","Santo Tomé y Príncipe","3220","67"
"150","Tayikistán","3146","68"
"151","Vanuatu","2747","72"
"152","Senegal","2732","64"
"153","Nepal","2642","68"
"154","Yemen","2476","64"
"155","Chad","2439","51"
"156","Malí","2360","57"
"157","Benín","2229","59"
"158","Uganda","2155","57"
"159","Etiopía","2104","64"
"160","Ruanda","2090","65"
"161","Islas Salomón","2031","69"
"162","Zimbabue","2002","58"
"163","Burkina Faso","1879","58"
"164","Kiribati","1878","66"
"165","Afganistán","1833","60,5"
"166","Haití","1819","55"
"167","Guinea-Bisáu","1816","54"
"168","Sierra Leona","1760","43"
"169","Gambia","1697","61"
"170","Togo","1619","58"
"171","Comoras","1567","62"
"172","Sudán del Sur","1554","55"
"173","Madagascar","1563","66"
"174","Eritrea","1441","63"
"175","Guinea","1315","54"
"176","Mozambique","1263","53"
"177","Malaui","1177","59"
"178","Níger","1154","59"
"179","Liberia","879","62"
"180","Burundi","812","56"
"181","República Democrática del Congo","788","52"
"182","República Centroafricana","684","51"
